                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 3.1565,                 1.5578,                0.01317,                0.89881,                0.15501,                0.10061,                0.94875,                 3.2241,                 1.5003,                0.00022,                0.00022,                0.00022
                      2,                 1.2171,                 2.3601,                 1.5197,                0.73649,                0.15199,                0.11612,                0.06438,                 1.3487,                 2.9056,                  1.819,             0.00044911,             0.00044911,             0.00044911
                      3,                  1.175,                  2.133,                  1.487,                0.74851,                0.10249,                0.09389,                0.04908,                 1.6842,                 2.5482,                  2.412,             0.00067731,             0.00067731,             0.00067731
                      4,                 1.2187,                 2.1108,                  1.543,                0.75117,                0.10696,                0.07232,                 0.0374,                 1.9056,                 2.5142,                 2.3502,             0.00090459,             0.00090459,             0.00090459
                      5,                 1.2324,                 1.9279,                 1.5239,                0.75779,                0.12332,                 0.0846,                0.03818,                 1.7653,                 2.8512,                 2.3096,             0.00099208,             0.00099208,             0.00099208
                      6,                 1.2518,                 1.8573,                 1.5304,                0.56672,                0.15765,                0.08071,                0.02986,                 1.8305,                 2.8967,                 2.3384,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.2354,                 1.9122,                 1.5368,                0.79215,                0.18359,                0.16557,                0.08557,                 1.4748,                 2.1572,                 1.9989,             0.00098812,             0.00098812,             0.00098812
                      8,                  1.207,                 1.8876,                 1.5236,                0.69774,                 0.1455,                0.12391,                0.06333,                  1.646,                 2.8729,                 2.3069,             0.00098614,             0.00098614,             0.00098614
                      9,                 1.2251,                 1.8215,                 1.5284,                0.62906,                0.17332,                0.13286,                0.06334,                 1.5458,                 2.2307,                 2.0204,             0.00098416,             0.00098416,             0.00098416
                     10,                 1.2177,                  1.775,                 1.5293,                0.75303,                0.17116,                0.10791,                0.04634,                 1.7699,                 2.5091,                 2.1967,             0.00098218,             0.00098218,             0.00098218
                     11,                 1.1939,                 1.7041,                 1.5033,                0.80755,                0.14793,                0.17359,                0.08734,                 1.5508,                 2.1501,                 2.0482,              0.0009802,              0.0009802,              0.0009802
                     12,                 1.1363,                 1.6348,                 1.4587,                0.83712,                0.19883,                0.21759,                0.11268,                 1.4233,                 1.9947,                 1.9213,             0.00097822,             0.00097822,             0.00097822
                     13,                   1.16,                 1.6353,                 1.4985,                0.70596,                0.27388,                 0.2211,                0.11461,                 1.4962,                 1.8804,                 2.0098,             0.00097624,             0.00097624,             0.00097624
                     14,                 1.1231,                 1.5251,                 1.4319,                0.84582,                0.17802,                0.20459,                0.10042,                 1.5169,                 1.8262,                 1.9397,             0.00097426,             0.00097426,             0.00097426
                     15,                 1.1331,                  1.621,                 1.4785,                0.52549,                0.28328,                0.19168,                0.08677,                 1.6433,                 2.2233,                 2.0021,             0.00097228,             0.00097228,             0.00097228
                     16,                 1.0982,                 1.5093,                 1.4344,                0.61391,                 0.2081,                 0.1708,                0.09405,                 1.4128,                 1.8406,                 1.9226,              0.0009703,              0.0009703,              0.0009703
                     17,                 1.1341,                 1.4949,                 1.4344,                0.65708,                0.25572,                0.18132,                0.08822,                 1.4836,                 2.0684,                   1.96,             0.00096832,             0.00096832,             0.00096832
                     18,                   1.08,                  1.422,                 1.3985,                0.68615,                0.23883,                0.19691,                0.10251,                 1.5339,                 2.0552,                  2.038,             0.00096634,             0.00096634,             0.00096634
                     19,                 1.0701,                 1.4662,                 1.4202,                0.75899,                0.21869,                0.20173,                0.10912,                 1.4238,                 1.8883,                  1.908,             0.00096436,             0.00096436,             0.00096436
                     20,                  1.091,                  1.461,                 1.4113,                0.75245,                0.24124,                 0.2154,                0.12411,                 1.3578,                 1.8665,                 1.8638,             0.00096238,             0.00096238,             0.00096238
                     21,                 1.0537,                 1.4191,                 1.4023,                0.67619,                0.33199,                0.23203,                0.12701,                 1.3399,                 1.7059,                  1.797,              0.0009604,              0.0009604,              0.0009604
                     22,                 1.0812,                 1.4122,                 1.4435,                0.70429,                0.29406,                0.20582,                0.11583,                   1.37,                 1.6828,                 1.7937,             0.00095842,             0.00095842,             0.00095842
                     23,                 1.0621,                 1.3788,                 1.4037,                0.73813,                0.19912,                0.20961,                0.11222,                 1.3188,                 1.8922,                 1.7384,             0.00095644,             0.00095644,             0.00095644
                     24,                 1.0209,                 1.3452,                 1.3775,                0.79958,                0.23806,                0.26908,                0.14465,                  1.314,                 1.6351,                 1.7655,             0.00095446,             0.00095446,             0.00095446
                     25,                 1.0419,                  1.285,                 1.3939,                0.78329,                0.23998,                0.21346,                0.11843,                 1.3823,                 1.7041,                 1.8697,             0.00095248,             0.00095248,             0.00095248
                     26,                 1.0462,                  1.279,                 1.4026,                0.77379,                0.25043,                0.23464,                0.11284,                 1.4551,                 1.5996,                  1.866,              0.0009505,              0.0009505,              0.0009505
                     27,                 1.0514,                 1.2597,                 1.4008,                0.86024,                0.22154,                0.26959,                 0.1694,                  1.347,                 1.5606,                 1.7649,             0.00094852,             0.00094852,             0.00094852
                     28,                 1.0289,                 1.2532,                  1.368,                0.73743,                0.27645,                 0.2442,                0.13878,                 1.3639,                 1.5271,                 1.7589,             0.00094654,             0.00094654,             0.00094654
                     29,                 1.0828,                   1.25,                 1.4245,                0.77515,                0.25747,                0.26059,                0.16353,                 1.2947,                 1.5728,                 1.7486,             0.00094456,             0.00094456,             0.00094456
                     30,                 1.0226,                 1.2013,                  1.368,                0.80152,                 0.2675,                0.24779,                0.14175,                 1.3649,                 1.6901,                 1.7942,             0.00094258,             0.00094258,             0.00094258
                     31,                  1.024,                 1.2429,                 1.3752,                0.84929,                0.23792,                0.30266,                0.19903,                 1.2612,                 1.4911,                 1.6799,              0.0009406,              0.0009406,              0.0009406
                     32,                 1.0395,                 1.2469,                 1.3756,                0.80352,                0.29117,                0.28463,                0.17701,                 1.3406,                 1.5136,                 1.7654,             0.00093862,             0.00093862,             0.00093862
                     33,                0.98306,                 1.1236,                 1.3462,                0.84073,                0.27836,                0.32203,                0.17034,                 1.3877,                 1.6071,                 1.8144,             0.00093664,             0.00093664,             0.00093664
                     34,                 1.0248,                 1.2315,                 1.3601,                0.64265,                0.33016,                0.36029,                0.22193,                 1.2293,                 1.3965,                 1.6899,             0.00093466,             0.00093466,             0.00093466
                     35,                 1.0154,                 1.1607,                 1.3637,                0.87542,                0.30976,                0.30878,                0.18353,                 1.2537,                  1.543,                 1.7554,             0.00093268,             0.00093268,             0.00093268
                     36,                 1.0139,                 1.2128,                 1.3785,                0.82756,                0.21328,                0.26433,                0.14096,                 1.2844,                 1.6422,                 1.7585,              0.0009307,              0.0009307,              0.0009307
                     37,                0.97146,                 1.1272,                 1.3137,                0.85451,                0.27532,                0.32554,                0.17855,                 1.2434,                 1.5843,                 1.7169,             0.00092872,             0.00092872,             0.00092872
                     38,                0.97096,                 1.1796,                 1.3308,                0.64361,                0.25045,                0.26932,                0.17411,                 1.2453,                 1.6734,                 1.6921,             0.00092674,             0.00092674,             0.00092674
                     39,                0.99063,                 1.1271,                 1.3469,                 0.5646,                0.29284,                0.24389,                0.14344,                 1.5095,                 2.1357,                 1.9424,             0.00092476,             0.00092476,             0.00092476
                     40,                  1.017,                 1.1496,                 1.3601,                0.69428,                0.30382,                0.32475,                 0.2058,                 1.2684,                  1.525,                 1.7834,             0.00092278,             0.00092278,             0.00092278
                     41,                0.96343,                 1.1099,                 1.3267,                0.65596,                0.34243,                0.31213,                0.20424,                 1.4231,                 1.5591,                 1.8504,              0.0009208,              0.0009208,              0.0009208
                     42,                 0.9822,                 1.0857,                 1.3524,                0.66088,                0.30546,                0.32066,                0.20742,                 1.1952,                 1.4013,                 1.6116,             0.00091882,             0.00091882,             0.00091882
                     43,                0.95957,                 1.1134,                 1.3283,                0.71518,                0.27304,                0.30068,                0.18599,                 1.1636,                 1.4169,                 1.6027,             0.00091684,             0.00091684,             0.00091684
                     44,                0.92124,                 1.0327,                 1.2807,                0.70321,                0.26968,                0.30926,                0.20758,                 1.1874,                 1.5148,                 1.6696,             0.00091486,             0.00091486,             0.00091486
                     45,                0.95981,                 1.1168,                 1.3187,                0.64206,                0.35195,                0.33558,                0.21607,                 1.2058,                 1.5053,                 1.6591,             0.00091288,             0.00091288,             0.00091288
                     46,                0.96145,                 1.0956,                 1.2953,                0.62079,                0.24787,                0.23726,                0.13393,                 1.2943,                 1.8007,                 1.7557,              0.0009109,              0.0009109,              0.0009109
                     47,                0.94183,                 1.0913,                 1.3177,                0.67058,                0.25623,                0.29113,                0.18419,                  1.362,                 1.5177,                  1.879,             0.00090892,             0.00090892,             0.00090892
                     48,                0.97162,                 1.1035,                 1.3273,                0.68471,                0.33361,                0.34478,                0.22862,                 1.2614,                 1.3972,                 1.7019,             0.00090694,             0.00090694,             0.00090694
                     49,                0.96134,                 1.0903,                 1.3148,                0.60315,                0.31933,                0.30869,                0.19524,                 1.3545,                 1.4584,                 1.8381,             0.00090496,             0.00090496,             0.00090496
                     50,                 0.9465,                 1.0566,                  1.313,                0.64398,                0.31168,                0.30024,                0.19596,                 1.2382,                 1.3718,                 1.7158,             0.00090298,             0.00090298,             0.00090298
                     51,                0.93642,                 1.0444,                 1.2872,                0.65853,                0.30579,                0.30063,                0.19976,                 1.1767,                  1.406,                  1.594,               0.000901,               0.000901,               0.000901
                     52,                0.96494,                 1.0318,                 1.3122,                0.71047,                0.29881,                 0.3272,                0.20866,                 1.1974,                 1.3998,                 1.6533,             0.00089902,             0.00089902,             0.00089902
                     53,                 0.8939,                 1.0085,                 1.2774,                0.68227,                 0.2955,                0.32505,                0.21561,                 1.2159,                 1.5089,                 1.6942,             0.00089704,             0.00089704,             0.00089704
                     54,                0.92227,                 1.0262,                 1.2938,                0.69189,                0.24599,                0.29893,                0.19859,                 1.2292,                 1.5628,                 1.6944,             0.00089506,             0.00089506,             0.00089506
                     55,                0.90487,                 1.0347,                 1.2783,                0.62873,                 0.3056,                0.31835,                0.22202,                 1.1846,                 1.5295,                 1.6509,             0.00089308,             0.00089308,             0.00089308
                     56,                0.89497,                0.99596,                 1.2786,                0.63572,                0.29051,                 0.2538,                 0.1372,                 1.2751,                 1.6013,                 1.7485,              0.0008911,              0.0008911,              0.0008911
                     57,                0.92145,                0.98148,                 1.2951,                0.54087,                0.29426,                0.25734,                0.15352,                 1.2771,                 1.4997,                 1.7498,             0.00088912,             0.00088912,             0.00088912
                     58,                0.94401,                 1.0018,                 1.3107,                0.68686,                0.29573,                0.33352,                0.21282,                 1.3357,                 1.5323,                 1.8703,             0.00088714,             0.00088714,             0.00088714
                     59,                0.92029,                0.99874,                 1.2834,                0.69832,                 0.3489,                0.35486,                0.23202,                 1.2656,                 1.5178,                 1.8026,             0.00088516,             0.00088516,             0.00088516
                     60,                0.92427,                0.94974,                 1.2973,                0.72414,                0.31364,                 0.3572,                 0.2471,                 1.2067,                 1.2905,                 1.6707,             0.00088318,             0.00088318,             0.00088318
                     61,                0.87408,                0.93421,                 1.2773,                0.66861,                0.31483,                0.32627,                0.22615,                 1.3121,                 1.4547,                 1.8264,              0.0008812,              0.0008812,              0.0008812
                     62,                0.87614,                0.92792,                 1.2549,                0.61971,                0.31076,                0.30383,                0.19977,                 1.1898,                 1.3924,                 1.6525,             0.00087922,             0.00087922,             0.00087922
                     63,                0.89804,                0.99365,                  1.271,                0.64047,                0.33979,                0.34802,                0.23943,                 1.1546,                 1.3689,                 1.6125,             0.00087724,             0.00087724,             0.00087724
                     64,                0.89391,                 0.9427,                 1.2726,                 0.6174,                0.30184,                0.32756,                0.21622,                 1.2308,                 1.4672,                 1.6722,             0.00087526,             0.00087526,             0.00087526
                     65,                0.92708,                0.99185,                 1.2817,                0.75638,                0.31393,                0.37477,                0.25119,                 1.1972,                 1.2882,                 1.6475,             0.00087328,             0.00087328,             0.00087328
                     66,                0.87311,                0.90554,                 1.2451,                 0.7228,                0.38835,                0.38939,                0.28791,                 1.1141,                  1.293,                 1.5514,              0.0008713,              0.0008713,              0.0008713
                     67,                0.88748,                0.95599,                 1.2633,                 0.6163,                0.35113,                0.33235,                0.23092,                 1.2167,                 1.3966,                  1.664,             0.00086932,             0.00086932,             0.00086932
                     68,                0.86504,                0.91731,                 1.2723,                0.69221,                0.26942,                0.30162,                 0.1996,                 1.2762,                 1.5945,                 1.7409,             0.00086734,             0.00086734,             0.00086734
                     69,                0.85874,                0.92867,                  1.243,                 0.6285,                0.26902,                0.30649,                0.19052,                 1.2071,                 1.4929,                  1.641,             0.00086536,             0.00086536,             0.00086536
                     70,                0.87561,                0.92723,                 1.2633,                0.68137,                0.26615,                0.31194,                0.19432,                 1.2236,                 1.4583,                 1.6654,             0.00086338,             0.00086338,             0.00086338
                     71,                0.85721,                0.90309,                 1.2682,                0.66318,                0.31442,                0.34746,                 0.2128,                 1.3376,                 1.3982,                 1.7534,              0.0008614,              0.0008614,              0.0008614
                     72,                0.88063,                0.90033,                 1.2469,                0.65136,                0.35536,                0.32944,                 0.2008,                 1.2165,                 1.4625,                 1.6651,             0.00085942,             0.00085942,             0.00085942
                     73,                0.89077,                0.91399,                 1.2405,                0.62848,                0.34395,                0.32674,                0.21089,                 1.2197,                 1.4898,                 1.7018,             0.00085744,             0.00085744,             0.00085744
                     74,                0.91771,                0.95226,                 1.2841,                0.62084,                 0.3278,                0.31976,                0.20081,                 1.3271,                 1.5384,                 1.8162,             0.00085546,             0.00085546,             0.00085546
                     75,                0.90092,                0.93961,                 1.2631,                0.63579,                0.32506,                0.31365,                  0.211,                 1.2588,                 1.4164,                 1.7134,             0.00085348,             0.00085348,             0.00085348
                     76,                0.85602,                0.87418,                 1.2249,                0.71967,                0.30942,                0.35449,                0.22797,                 1.2693,                 1.4204,                 1.7787,              0.0008515,              0.0008515,              0.0008515
                     77,                0.85619,                0.86841,                 1.2466,                0.65915,                0.29936,                0.29194,                0.18838,                 1.2234,                 1.4522,                 1.7163,             0.00084952,             0.00084952,             0.00084952
                     78,                0.87179,                0.87866,                  1.265,                0.64868,                0.32051,                0.30272,                0.18862,                 1.2039,                 1.3382,                 1.6406,             0.00084754,             0.00084754,             0.00084754
                     79,                 0.8438,                0.87737,                 1.2392,                0.77295,                0.31117,                0.28838,                0.18422,                 1.1611,                 1.4573,                 1.6071,             0.00084556,             0.00084556,             0.00084556
                     80,                0.89301,                0.92689,                 1.2747,                0.70036,                0.28981,                0.35898,                0.24918,                 1.1211,                  1.242,                 1.6082,             0.00084358,             0.00084358,             0.00084358
                     81,                0.84713,                0.92567,                 1.2613,                 0.6795,                0.34106,                0.35483,                0.23037,                 1.1619,                 1.3136,                 1.6072,              0.0008416,              0.0008416,              0.0008416
                     82,                0.82444,                0.83253,                 1.2241,                0.63311,                 0.3142,                  0.348,                0.22868,                 1.1964,                 1.3761,                 1.6586,             0.00083962,             0.00083962,             0.00083962
                     83,                0.85336,                0.90897,                 1.2478,                0.51002,                0.24321,                0.28915,                0.20314,                 1.2228,                 1.5076,                 1.7177,             0.00083764,             0.00083764,             0.00083764
                     84,                0.81367,                0.83194,                 1.2224,                 0.7135,                0.27787,                 0.3349,                0.23368,                 1.1992,                 1.3245,                 1.6924,             0.00083566,             0.00083566,             0.00083566
                     85,                0.81321,                 0.8395,                   1.21,                0.65812,                0.30671,                0.35069,                 0.2457,                 1.1783,                 1.2442,                 1.6365,             0.00083368,             0.00083368,             0.00083368
                     86,                0.86931,                0.87648,                  1.256,                0.52014,                0.29668,                0.33338,                0.23059,                 1.2034,                 1.3122,                 1.6339,              0.0008317,              0.0008317,              0.0008317
                     87,                0.83925,                0.84071,                 1.2139,                 0.7372,                0.26778,                0.35843,                0.24715,                 1.2103,                 1.4458,                 1.7108,             0.00082972,             0.00082972,             0.00082972
                     88,                0.84374,                0.86002,                 1.2316,                0.68902,                0.30758,                0.34451,                0.22972,                 1.2547,                 1.5096,                 1.7029,             0.00082774,             0.00082774,             0.00082774
                     89,                0.80353,                0.81271,                 1.2218,                0.74471,                0.24683,                0.29868,                0.19798,                 1.1828,                  1.457,                 1.6673,             0.00082576,             0.00082576,             0.00082576
                     90,                0.82404,                0.83325,                 1.2376,                0.70917,                 0.3036,                 0.3618,                0.24071,                  1.267,                 1.2306,                 1.7604,             0.00082378,             0.00082378,             0.00082378
                     91,                0.81485,                0.79557,                 1.2364,                0.70729,                0.35142,                0.37067,                 0.2247,                 1.1751,                 1.2478,                 1.6543,              0.0008218,              0.0008218,              0.0008218
                     92,                0.84105,                 0.8434,                 1.2395,                0.69598,                0.30513,                0.33787,                0.20932,                 1.3043,                 1.4318,                 1.8106,             0.00081982,             0.00081982,             0.00081982
                     93,                0.81293,                0.81979,                 1.2268,                0.69093,                0.34372,                0.37141,                0.24109,                 1.1874,                 1.3455,                 1.6965,             0.00081784,             0.00081784,             0.00081784
                     94,                0.86088,                0.83819,                 1.2362,                0.68708,                0.37544,                0.36589,                0.26872,                 1.1463,                 1.3166,                 1.5858,             0.00081586,             0.00081586,             0.00081586
                     95,                0.84045,                0.82532,                 1.2317,                0.71572,                0.36563,                0.37158,                0.26077,                 1.1175,                 1.2838,                 1.5968,             0.00081388,             0.00081388,             0.00081388
                     96,                0.81621,                0.83154,                  1.198,                0.67933,                 0.3366,                0.33958,                0.22895,                 1.0683,                 1.2483,                 1.5449,              0.0008119,              0.0008119,              0.0008119
                     97,                0.81809,                0.80885,                 1.2022,                0.67579,                0.32234,                0.35355,                0.23595,                 1.1914,                 1.3165,                 1.6301,             0.00080992,             0.00080992,             0.00080992
                     98,                0.80038,                0.77857,                 1.2103,                0.67532,                 0.3385,                 0.3668,                 0.2639,                 1.1746,                 1.3199,                 1.6157,             0.00080794,             0.00080794,             0.00080794
                     99,                0.78795,                0.80627,                 1.2029,                0.73765,                0.30149,                0.37057,                0.26085,                 1.2506,                 1.4061,                 1.6978,             0.00080596,             0.00080596,             0.00080596
                    100,                0.82488,                0.82819,                 1.2186,                0.72025,                 0.3234,                0.35998,                0.25133,                 1.1453,                  1.302,                 1.6208,             0.00080398,             0.00080398,             0.00080398
                    101,                0.84494,                0.87733,                 1.2346,                0.68588,                0.30398,                0.36377,                0.24149,                 1.1289,                  1.272,                  1.613,               0.000802,               0.000802,               0.000802
                    102,                0.79568,                0.76086,                 1.1662,                0.48686,                0.37315,                0.38038,                0.26729,                 1.1125,                  1.192,                  1.581,             0.00080002,             0.00080002,             0.00080002
                    103,                0.80065,                0.75862,                 1.1941,                0.53315,                0.34635,                 0.3783,                0.26391,                 1.0998,                 1.1969,                 1.5455,             0.00079804,             0.00079804,             0.00079804
                    104,                0.81633,                0.81512,                   1.21,                0.66911,                 0.3817,                0.36327,                0.26582,                 1.1039,                 1.1695,                 1.5889,             0.00079606,             0.00079606,             0.00079606
                    105,                0.79034,                0.80608,                 1.2027,                0.68935,                0.34417,                0.37393,                0.24887,                 1.2742,                 1.2342,                 1.7815,             0.00079408,             0.00079408,             0.00079408
                    106,                0.80316,                0.76515,                 1.1973,                0.72345,                 0.3145,                0.38714,                0.26345,                 1.1223,                 1.2526,                 1.5746,              0.0007921,              0.0007921,              0.0007921
                    107,                0.80917,                0.80535,                 1.2147,                0.72053,                0.33921,                0.37584,                0.26335,                 1.1237,                 1.2293,                 1.5724,             0.00079012,             0.00079012,             0.00079012
                    108,                 0.7983,                0.77372,                 1.1992,                0.72311,                 0.3372,                 0.3958,                0.29027,                 1.1182,                 1.1094,                 1.5739,             0.00078814,             0.00078814,             0.00078814
                    109,                0.84706,                0.82017,                  1.231,                0.74961,                 0.2767,                0.33422,                0.23904,                 1.1042,                    1.3,                 1.5724,             0.00078616,             0.00078616,             0.00078616
                    110,                0.78738,                0.78432,                 1.1877,                0.62486,                0.33161,                0.33413,                0.22315,                 1.1626,                 1.3933,                 1.6099,             0.00078418,             0.00078418,             0.00078418
                    111,                0.77766,                 0.7753,                 1.2006,                0.72069,                0.34951,                0.37641,                0.27061,                 1.1133,                 1.3101,                 1.5632,              0.0007822,              0.0007822,              0.0007822
                    112,                0.77996,                0.75776,                 1.1784,                0.67339,                0.32328,                0.35511,                0.24668,                 1.1576,                 1.2734,                 1.5963,             0.00078022,             0.00078022,             0.00078022
                    113,                0.76906,                0.74627,                 1.1843,                0.71928,                 0.3275,                0.37896,                0.27377,                 1.0861,                 1.2304,                 1.5504,             0.00077824,             0.00077824,             0.00077824
                    114,                0.81128,                0.75439,                 1.2142,                0.74363,                0.33135,                 0.3947,                0.27441,                 1.1174,                 1.2106,                 1.5879,             0.00077626,             0.00077626,             0.00077626
                    115,                0.77607,                0.78373,                 1.1932,                 0.6966,                0.36839,                0.38559,                0.25398,                 1.2034,                 1.2429,                 1.6687,             0.00077428,             0.00077428,             0.00077428
                    116,                0.79711,                0.77861,                 1.2126,                0.50027,                0.35445,                0.36347,                0.26977,                 1.1091,                  1.226,                 1.5521,              0.0007723,              0.0007723,              0.0007723
                    117,                0.79782,                 0.7839,                 1.2069,                0.50324,                 0.3093,                0.35959,                0.25145,                 1.1803,                 1.3279,                 1.6097,             0.00077032,             0.00077032,             0.00077032
                    118,                0.77689,                0.75387,                 1.1849,                0.59373,                0.30278,                0.37698,                0.26739,                 1.0983,                 1.2546,                 1.5821,             0.00076834,             0.00076834,             0.00076834
                    119,                0.78707,                0.79215,                 1.2137,                0.52001,                0.38044,                0.38605,                0.26831,                  1.181,                 1.1505,                 1.6164,             0.00076636,             0.00076636,             0.00076636
                    120,                 0.7799,                0.75564,                 1.1985,                0.48771,                0.39592,                0.40482,                0.28413,                 1.1559,                 1.2771,                  1.624,             0.00076438,             0.00076438,             0.00076438
                    121,                0.76387,                0.73571,                 1.1639,                 0.6977,                0.33476,                0.39522,                0.25743,                 1.1604,                 1.1074,                 1.6318,              0.0007624,              0.0007624,              0.0007624
                    122,                0.75976,                0.74388,                 1.1941,                 0.4991,                0.31299,                 0.3403,                0.23405,                 1.1428,                  1.231,                 1.6104,             0.00076042,             0.00076042,             0.00076042
                    123,                0.79364,                0.73411,                 1.1871,                 0.6859,                0.35482,                0.34821,                0.23424,                  1.152,                  1.377,                 1.5653,             0.00075844,             0.00075844,             0.00075844
                    124,                 0.7464,                0.74248,                 1.1802,                0.69558,                0.33533,                0.34627,                0.22357,                 1.1102,                 1.3902,                 1.5779,             0.00075646,             0.00075646,             0.00075646
                    125,                0.75019,                0.73253,                 1.1659,                0.66013,                0.37295,                0.34033,                0.22619,                 1.1231,                 1.2685,                  1.589,             0.00075448,             0.00075448,             0.00075448
