                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97714,                 1.1803,                 1.3223,                0.66632,                0.32303,                0.35707,                 0.1978,                 1.3355,                    1.5,                 1.8001,             0.00083665,             0.00083665,             0.00083665
                     35,                0.98871,                 1.1258,                 1.3256,                0.84649,                0.38548,                0.34956,                0.18516,                   1.32,                 1.4855,                 1.7677,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.0054,                 1.1605,                 1.3636,                0.80285,                0.24256,                0.26617,                0.15694,                 1.4398,                 1.7075,                 1.8654,             0.00082675,             0.00082675,             0.00082675
                     37,                0.95806,                 1.1087,                 1.3075,                0.70473,                0.32165,                0.22947,                0.12016,                 1.3908,                 1.8536,                  1.868,              0.0008218,              0.0008218,              0.0008218
                     38,                0.96028,                 1.1378,                 1.3182,                0.68272,                0.26326,                0.30025,                0.18281,                 1.2537,                 1.5924,                 1.7526,             0.00081685,             0.00081685,             0.00081685
                     39,                0.96191,                 1.1053,                 1.3181,                0.68795,                0.27174,                0.34559,                0.18693,                  1.249,                 1.4746,                  1.709,              0.0008119,              0.0008119,              0.0008119
                     40,                0.99379,                 1.1248,                 1.3463,                0.60415,                 0.3486,                0.33297,                 0.2039,                 1.2127,                 1.5251,                 1.6944,             0.00080695,             0.00080695,             0.00080695
                     41,                0.94849,                 1.0768,                 1.3115,                0.59865,                0.33403,                0.30218,                0.18253,                 1.2718,                  1.525,                 1.7047,               0.000802,               0.000802,               0.000802
                     42,                0.92369,                 1.0452,                 1.3079,                0.79302,                0.26917,                0.26926,                0.15287,                 1.2434,                 1.5587,                 1.6946,             0.00079705,             0.00079705,             0.00079705
                     43,                0.94361,                 1.0937,                 1.3025,                0.65612,                0.24176,                0.29289,                0.17948,                 1.2695,                 1.4941,                   1.69,              0.0007921,              0.0007921,              0.0007921
                     44,                0.92638,                 1.0117,                 1.2813,                 0.6843,                0.25962,                0.26086,                0.16075,                 1.2341,                 1.5531,                  1.671,             0.00078715,             0.00078715,             0.00078715
